,Headlines,Andrew,Bryan,Charlie,David,Elfie,Freddy,George,Henry,Islam,Jack,Kevin
0,Johnson is asking Santa for a Christmas recovery,0,0,0,0,0,0,0,0,0,0,0
1,‘I now fear the worst’: four grim tales of working life upended by Covid-19,0,0,0,0,0,0,0,0,0,0,0
2,Five key areas Sunak must tackle to serve up economic recovery,0,0,0,0,0,0,0,0,0,0,0
3,Covid-19 leaves firms ‘fatally ill-prepared’ for no-deal Brexit,0,0,0,0,0,0,0,0,0,0,0
4,"The Week in Patriarchy  


  Bacardi's 'lady vodka': the latest in a long line of depressing gendered products",0,0,0,0,0,0,0,0,0,0,0
5,English councils call for smoking ban outside pubs and cafes,0,0,0,0,0,0,0,0,0,0,0
6,Can Tesla justify a $300bn valuation?,0,0,0,0,0,0,0,0,0,0,0
7,Empty city centres: 'I’m not sure it will ever be the same again',0,0,0,0,0,0,0,0,0,0,0
8,Democratising finance for all? An investment app for amateurs and a student trader's death,0,1,1,1,0,1,1,1,1,0,0
9,"Homebuyer loses £300,000 to fraudsters – but gets it back after we step in",0,0,0,0,0,0,0,0,0,0,0
10,St Mawes named UK’s top seaside resort in Which? poll,0,0,0,0,0,0,0,0,0,0,0
11,Atol protection to be extended to vouchers on Covid-19 cancellations,0,0,0,0,0,0,0,0,0,0,0
12,"Leaseholders billed up to £115,000 each to remove Grenfell-style cladding",0,0,0,0,0,0,0,0,0,0,0
13,Boohoo calls for licensing scheme to ensure textile factories fit to trade,0,0,0,0,0,0,0,0,0,0,0
14,All Asda HQ staff told to return to office at least once a week from August,0,0,0,0,0,0,0,0,0,0,0
15,"Ask and Zizzi to close 75 outlets, threatening up to 1,200 jobs",0,0,0,0,0,0,0,0,0,0,0
16,British Airways retires iconic Boeing 747 fleet – in pictures,0,0,0,0,0,0,0,0,0,0,0
17,World Bank calls on creditors to cut poorest nations' debt payments,0,1,1,1,0,1,1,1,1,0,0
18,British Airways retires Boeing 747 fleet as Covid-19 hits travel,0,0,0,0,0,0,0,0,0,0,0
19,What will changes to England's lockdown rules mean for me?,0,0,0,0,0,0,0,0,0,0,0
20,In search of a new economics for Covid-19 era,0,0,0,0,0,0,0,0,0,0,0
21,Business live  Markets hope for progress over EU recovery fund; US consumer confidence drops – as it happened,1,1,1,1,1,1,1,1,1,1,0
22,"I flew the jumbo for 10 years and never got over how big it was, says 747 pilot",0,0,0,0,0,0,0,0,0,0,0
23,BA begins to carry out its 'fire and rehire' threat to jobs,0,0,0,0,0,0,0,0,0,0,0
24,"Johnson's coronavirus workplace guidance confused, warn unions",0,0,0,0,0,0,0,0,0,0,0
25,What will be changing in Boris Johnson's 'return to normality',0,0,0,0,0,0,0,0,0,0,0
26,Lloyds to increase number of black staff in senior roles,0,0,0,0,0,0,0,0,0,0,0
27,Silicon Valley has deep pockets for African startups – if you’re not African,0,0,0,0,0,0,0,0,0,0,0
28,'What’s going to give?': millions fret as Republicans threaten to halt $600 weekly lifesaver,0,0,0,0,0,0,0,0,0,0,0
29,Future of education  'The MIT of the north': how the government plans to transform ex-mining towns,1,1,1,0,0,1,1,0,1,0,0
30,Battery firm chooses Welsh site for Britain's first gigafactory,0,0,0,0,0,0,0,0,0,0,0
31,Netflix shares drop despite positive second-quarter earnings,0,0,0,0,0,0,0,0,0,0,0
32,"Nils Pratley on finance  


  Centrica left it far too late to tackle its problems",0,1,1,1,0,1,1,1,1,0,0
33,Here's another virus terrorising businesses and causing havoc: ransomware,0,0,0,0,0,0,0,0,0,0,0
34,"$11.3bn in IMF Covid-19 money is being used to service debt, says group",0,0,0,0,0,0,0,0,0,0,0
35,A fifth of Brazilian soy in Europe is result of deforestation,0,0,0,0,0,0,0,0,0,0,0
36,Public sector pension discrimination could cost UK taxpayer £17bn,0,0,0,0,0,0,0,0,0,0,0
37,World's largest oil firm agrees to carbon cuts to tackle climate crisis,0,1,0,1,0,1,0,0,1,1,0
38,Boohoo shares rise 12% after co-founders pump £15m into firm,0,0,0,0,0,0,0,0,0,0,0
39,UK government orders halt to Randox Covid-19 tests over safety issues,0,0,0,0,0,0,0,0,0,0,0
40,Canary Wharf traders and landlord bank on return to offices,0,1,1,1,0,1,1,1,1,0,0
41,Number of UK problem gamblers seeking help soars in lockdown,0,0,0,0,0,0,0,0,0,0,0
42,British Gas owner 'using Covid-19 as smokescreen to alter staff contracts',1,1,0,1,0,1,0,1,1,1,0
43,'It's disrupted our entire lives': UK workers on losing their jobs,0,0,0,0,0,0,0,0,0,0,0
44,Business live  China shares suffer biggest fall since February; US jobless claims still high - as it happened,0,0,0,0,0,0,0,0,0,0,0
45,"More than 1,600 UK jobs at risk at casino firm Genting",0,0,0,0,0,0,0,0,0,0,0
46,Royalties investment firm buys catalogue of Lady Gaga collaborator,0,1,1,1,0,1,1,1,1,0,0
47,"Pizza Express to close up to 75 restaurants, risking 1,000 jobs",0,0,0,0,0,0,0,0,0,0,0
48,Rishi Sunak’s Covid-19 package recycled up to £10bn spending – IFS,0,0,0,0,0,0,0,0,0,0,0
49,Next in final stages of buying UK arm of Victoria's Secret,0,0,0,0,0,0,0,0,0,0,0
50,"Human rights in focus  Ethical labels not fit for purpose, report warns consumers",1,0,1,1,1,0,0,0,1,1,0
51,UK banks may have to flag up plans to shut branches or cash machines,0,1,1,1,0,1,1,1,1,0,0
52,1.3m more file for unemployment as US economy continues to reel,0,0,0,0,0,0,0,0,0,0,0
53,Southbank Centre warns of 400 job losses amid coronavirus crisis,0,1,1,1,0,1,1,1,1,0,0
54,UK's hidden problem of rising unemployment may soon be exposed,0,0,0,0,0,0,0,0,0,0,0
55,"UK paid employment falls by almost 650,000 as Covid-19 crisis bites",0,0,0,0,0,0,0,0,0,0,0
56,Banks propose student loan-style scheme for struggling UK businesses,0,1,1,1,0,1,1,1,1,0,0
57,Family fortunes of wealthy increase as super-rich ride coronavirus storm,0,0,0,0,0,0,0,0,0,0,0
58,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,0,0,0,0,0,0,0,0,0,0,0
59,"29% of UK businesses to cut jobs in next three months, survey says",0,0,0,0,0,0,0,0,0,0,0
60,"'Incredible' Boohoo denying knowledge of factory allegations, says MP",0,0,0,0,0,0,0,0,0,0,0
61,Treasury mulls plan to set up coronavirus toxic debt body to save UK small businesses,0,0,0,0,0,0,0,0,0,0,0
62,"Nils Pratley on finance  


  Margrethe Vestager was 100% correct over public mood on Apple tax case",0,1,1,1,0,1,1,1,1,0,0
63,Fear of Pizza Express closures as chain faces takeover by bondholders,0,0,0,0,0,0,0,0,0,0,0
64,'Not much difference': few takers on first day of hospitality VAT cut,0,0,0,0,0,0,0,0,0,0,0
